Fecha,Prediccion_LSTM
2025-03-09,6720.9453
2025-03-16,6511.2783
2025-03-23,6419.083
2025-03-30,6304.6245
2025-04-06,5967.7046
2025-04-13,5875.273
2025-04-20,5349.848
2025-04-27,4807.0747
2025-05-04,4257.9893
2025-05-11,3950.7175
2025-05-18,3627.696
2025-05-25,3405.7644
2025-06-01,3459.2952
2025-06-08,3414.007
2025-06-15,3367.7605
2025-06-22,3319.999
2025-06-29,3272.2412
2025-07-06,3228.764
2025-07-13,3186.5183
2025-07-20,3152.5215
2025-07-27,3127.041
2025-08-03,3110.0088
2025-08-10,3097.5637
2025-08-17,3089.8418
2025-08-24,3085.1816
2025-08-31,3079.405
2025-09-07,3074.1626
2025-09-14,3069.536
2025-09-21,3065.593
2025-09-28,3062.36
2025-10-05,3059.7822
2025-10-12,3057.8398
2025-10-19,3056.402
2025-10-26,3055.3337
2025-11-02,3054.5046
2025-11-09,3053.846
2025-11-16,3053.2903
2025-11-23,3052.793
2025-11-30,3052.3784
2025-12-07,3052.0393
2025-12-14,3051.7683
2025-12-21,3051.5547
2025-12-28,3051.39
2026-01-04,3051.2607
2026-01-11,3051.1606
2026-01-18,3051.0806
2026-01-25,3051.0146
2026-02-01,3050.961
2026-02-08,3050.9158
2026-02-15,3050.8792
2026-02-22,3050.8496
2026-03-01,3050.8254
