fecha,prediccion_totalfactura
2025-03-09,9498.65691867675
2025-03-16,19921.22686955478
2025-03-23,8942.065214038725
2025-03-30,20784.903179938905
2025-04-06,16321.228462810715
2025-04-13,20217.803824829964
2025-04-20,18392.51968969009
2025-04-27,22472.234318235114
2025-05-04,8690.833858817634
2025-05-11,13366.181406874928
2025-05-18,12269.12978745937
2025-05-25,6862.1646797466665
2025-06-01,8761.91989187345
2025-06-08,18213.359696778873
2025-06-15,12912.964742024345
2025-06-22,21680.408559025243
2025-06-29,18553.60820642521
2025-07-06,20832.650850014143
2025-07-13,19958.40801377645
2025-07-20,24559.844151767786
2025-07-27,22638.217131292065
2025-08-03,39277.123147702354
2025-08-10,22515.54034467476
2025-08-17,17103.241630333705
2025-08-24,23592.140261943154
2025-08-31,25095.721473748246
2025-09-07,31477.362866791074
2025-09-14,23661.93430387775
2025-09-21,50159.91228202617
2025-09-28,51724.11437633363
2025-10-05,41830.14518307082
2025-10-12,34646.994712019696
2025-10-19,28551.92066505172
2025-10-26,26526.0436912771
2025-11-02,39002.79250231577
2025-11-09,34720.358104165156
2025-11-16,48909.85176862145
2025-11-23,32148.053390298788
2025-11-30,55297.238925863414
2025-12-07,33722.36053425239
2025-12-14,49018.37851377981
2025-12-21,41034.269012301294
2025-12-28,47480.94755465221
2026-01-04,71641.78188750596
2026-01-11,37728.13249665552
2026-01-18,52183.88369330283
2026-01-25,50138.72055432625
2026-02-01,45065.48180438052
2026-02-08,29489.228302389543
2026-02-15,34343.81481890693
2026-02-22,28460.699244900727
2026-03-01,13222.32863397381
